City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
126,selfoss,63.9331,-20.9971,61.05,47,75,5.97,IS,1689600169
127,san rafael,-34.6177,-68.3301,35.8,62,100,3.69,AR,1689600235
128,plettenberg bay,-34.0527,23.3716,62.89,69,75,3.83,ZA,1689600470
129,egilsstadir,65.2653,-14.3948,53.51,58,75,14.97,IS,1689600471
130,mil'kovo,55.6078,37.7956,81.09,37,1,5.12,RU,1689600471
131,lompoc,34.6391,-120.4579,60.78,97,0,0.0,US,1689600472
132,sinabang,2.4803,96.3801,79.9,82,97,5.75,ID,1689600472
133,pechory,57.8164,27.6119,78.26,36,57,10.45,RU,1689600473
134,pitimbu,-7.4706,-34.8086,82.99,77,64,14.27,BR,1689600152
135,klyuchi,52.2667,79.1667,80.22,37,25,11.52,RU,1689600228
136,isangel,-19.55,169.2667,71.49,77,27,15.93,VU,1689600335
137,east london,-33.0153,27.9116,72.54,53,0,6.91,ZA,1689600090
138,preobrazheniye,42.9019,133.9064,61.2,97,64,6.4,RU,1689600475
139,sitka,57.0531,-135.33,55.29,88,100,4.61,US,1689599875
140,anna regina,7.2644,-58.5077,84.52,66,7,11.05,GY,1689600287
141,santiago de cao,-7.9589,-79.2392,71.73,83,100,2.3,PE,1689600477
142,dubbo,-32.25,148.6167,48.33,87,3,6.91,AU,1689600477
143,kyaukse,21.6,96.1333,89.37,54,19,3.33,MM,1689600478
144,whitehorse,60.7161,-135.0538,59.31,76,100,8.01,CA,1689599923
145,sargatskoye,55.6101,73.4972,78.98,45,50,5.7,RU,1689600479
146,prainha,-1.8,-53.48,84.99,59,83,5.95,BR,1689600480
147,ramshir,30.8946,49.4092,120.06,4,0,21.39,IR,1689600481
148,lerwick,60.1545,-1.1494,55.4,76,84,17.38,GB,1689600282
149,bayganin,48.6947,55.8742,74.66,41,83,17.36,KZ,1689600482
150,anadyr,64.75,177.4833,63.1,72,0,8.95,RU,1689600150
151,carqueiranne,43.0953,6.073,101.3,69,0,12.66,FR,1689600483
152,funtua,11.5233,7.3081,92.14,35,85,4.34,NG,1689600484
153,mtambile,-5.3833,39.7,79.11,72,4,18.95,TZ,1689600447
154,iskateley,67.6803,53.1512,70.84,47,100,12.21,RU,1689600216
155,cabo san lucas,22.8909,-109.9124,82.71,78,40,10.36,MX,1689600355
156,port-gentil,-0.7193,8.7815,80.56,65,20,11.5,GA,1689600487
157,motygino,58.1831,94.7592,64.71,61,58,4.59,RU,1689600487
158,wangdue phodrang,27.4862,89.8991,73.54,97,100,1.41,BT,1689600488
159,puerto ayora,-0.7393,-90.3518,76.55,97,35,3.0,EC,1689600053
160,tofol,5.3248,163.0078,82.71,78,100,13.06,FM,1689600489
161,xincheng,33.6333,115.1833,79.56,74,0,8.3,CN,1689600490
162,paraisopolis,-22.5542,-45.78,70.03,60,76,2.71,BR,1689600491
163,oranjemund,-28.55,16.4333,75.02,33,5,4.61,NA,1689600128
164,isla del bosque,22.7333,-105.85,80.46,87,18,2.26,MX,1689600494
165,charters towers,-20.1,146.2667,65.39,65,100,6.58,AU,1689600495
166,luderitz,-26.6481,15.1594,73.6,37,0,3.8,NA,1689600100
167,tingo maria,-9.2895,-76.0088,71.91,94,75,1.14,PE,1689600497
168,ouadda,8.0777,22.4007,88.83,48,87,4.56,CF,1689600503
169,moquegua,-17.1956,-70.9353,68.79,28,67,1.16,PE,1689600436
170,holualoa,19.6228,-155.9522,75.04,86,100,5.01,US,1689600504
171,ciudad lazaro cardenas,17.9583,-102.2,78.64,90,96,8.32,MX,1689600505
172,talcahuano,-36.7167,-73.1167,40.68,75,0,6.91,CL,1689600201
173,severobaykal'sk,55.65,109.3167,54.81,97,100,1.07,RU,1689600508
174,alice springs,-23.7,133.8833,49.55,66,6,0.0,AU,1689600210
175,hawaiian paradise park,19.5933,-154.9731,72.03,95,0,3.44,US,1689600058
176,vilyuchinsk,52.9306,158.4028,57.47,93,100,1.81,RU,1689600298
177,noumea,-22.2763,166.4572,70.0,99,74,13.2,NC,1689600269
178,rovaniemi,66.5,25.7167,67.41,59,75,19.57,FI,1689600510
179,balabac,7.9868,117.0645,81.54,80,61,2.68,PH,1689600511
180,tosya,41.0155,34.0401,77.81,32,0,8.21,TR,1689600513
181,san luis,-33.295,-66.3356,45.57,52,92,3.78,AR,1689600326
182,sao joao da barra,-21.6403,-41.0511,78.89,58,16,2.17,BR,1689600307
183,solnechnyy,50.7214,136.6319,61.54,95,8,2.86,RU,1689600515
184,kapa'a,22.0752,-159.319,80.92,81,40,14.97,US,1689600036
185,thompson,55.7435,-97.8558,59.16,82,75,6.91,CA,1689600047
186,bei'an,24.5399,109.533,78.91,79,100,13.76,CN,1689600516
187,olinda,-8.0089,-34.8553,82.13,69,75,12.66,BR,1689600517
188,atbara,17.7022,33.9864,109.45,11,73,5.7,SD,1689600518
189,lazaro cardenas,17.9583,-102.2,78.64,90,96,8.32,MX,1689600402
190,olyokminsk,60.3736,120.4264,71.96,66,7,3.67,RU,1689600052
191,jokioinen,60.8016,23.48,71.33,65,98,13.78,FI,1689600520
192,nkhotakota,-12.9274,34.2961,77.14,40,10,10.02,MW,1689600520
193,port mathurin,-19.6833,63.4167,74.01,77,78,29.71,MU,1689600207
194,dzerzhinskoye,56.8344,95.2283,61.65,94,15,1.99,RU,1689600522
195,lejanias,3.5251,-74.0216,72.54,89,93,1.03,CO,1689600522
196,upington,-28.4478,21.2561,82.78,15,0,11.5,ZA,1689600321
197,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,94,75,4.47,RU,1689600064
198,barra de santo antonio,-9.4047,-35.5072,78.08,82,39,12.75,BR,1689600186
199,saldanha,-33.0117,17.9442,68.05,81,11,6.24,ZA,1689600214
200,lobez,53.6392,15.6213,78.69,41,75,13.24,PL,1689600527
201,ocean shores,46.9737,-124.1563,60.94,95,100,11.5,US,1689600528
202,natal,-5.795,-35.2094,83.05,69,75,13.8,BR,1689600234
203,pudozh,61.8099,36.5345,78.26,39,100,8.32,RU,1689600529
204,guerrero negro,27.9769,-114.0611,67.06,88,100,8.08,MX,1689600153
205,qaqortoq,60.7167,-46.0333,48.83,87,100,0.81,GL,1689600190
206,orchard homes,46.8633,-114.0484,63.32,63,0,3.0,US,1689600531
207,richards bay,-28.783,32.0377,78.1,42,0,8.5,ZA,1689600325
208,udachny,66.4167,112.4,48.45,100,100,5.44,RU,1689600267
209,waingapu,-9.6567,120.2641,73.38,81,7,9.78,ID,1689600343
210,warwick,41.7001,-71.4162,80.02,88,40,4.61,US,1689600533
211,afaahiti,-17.75,-149.2833,67.87,68,75,7.9,PF,1689600132
